cd_cvm,company_name,issuing_code,nome_pregao,fonte,confianca,ticker_b3,yf_validado
20036,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,AGRO,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,cvm_code,1.0,,
20257,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,TAEE,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,cvm_code,1.0,,
20320,CEMIG GT,CMGT,CEMIG GERACAO E TRANSMISSAO S.A.,cvm_code,1.0,,
20346,PROFARMA,PFRM,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,cvm_code,1.0,,
20362,POSITIVO INFORMATICA SA,POSI,POSITIVO TECNOLOGIA S.A.,cvm_code,1.0,,
20435,TECNISA S/A,TCSA,TECNISA S.A.,cvm_code,1.0,,
20451,RODOBENS NEGOCIOS IMOBILIARIOS SA,RDNI,RNI NEGÓCIOS IMOBILIÁRIOS S.A.,cvm_code,1.0,,
20494,IGUATEMI EMPRESA DE SHOPPING CENTERS S/A,IGTA,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,cvm_code,1.0,,
20540,CPFL RENOVÁVEIS,CPRE,CPFL ENERGIAS RENOVÁVEIS S.A.,cvm_code,1.0,,
20702,VIVER,VIVR,VIVER INCORPORADORA E CONSTRUTORA S.A.,cvm_code,1.0,,
20800,TEGMA GESTÃO LOGÍSTICA SA,TGMA,TEGMA GESTAO LOGISTICA S.A.,cvm_code,1.0,,
21040,SYN PROP & TECH S.A.,SYNE,SYN PROP E TECH S.A.,cvm_code,1.0,,
21130,TRISUL,TRIS,TRISUL S.A.,cvm_code,1.0,,
21156,J. MACEDO ALIM NORDESTE S/A  - AGUIA S/A,JMCD,J. MACEDO S.A.,cvm_code,1.0,,
21440,LE LIS BLANC DEUX,VSTE,VESTE S.A. ESTILO,cvm_code,1.0,,
21636,RENOVA ENERGIA S/A,RNEW,RENOVA ENERGIA S.A.,cvm_code,1.0,,
21733,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO,CIEL,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO,cvm_code,1.0,,
